Date,Produit,Région,Ventes,Prix unitaire,Stock disponible
2023-01-01,Produit_39,Région_4,93,95.8,71
2023-01-01,Produit_21,Région_7,83,54.49,458
2023-01-01,Produit_24,Région_5,24,327.19,308
2023-01-01,Produit_2,Région_8,30,110.11,191
2023-01-01,Produit_21,Région_1,76,307.77,252
2023-01-01,Produit_44,Région_9,49,264.76,510
2023-01-01,Produit_42,Région_3,55,491.7,504
2023-01-01,Produit_3,Région_5,51,341.75,840
2023-01-01,Produit_39,Région_2,4,471.39,13
2023-01-01,Produit_50,Région_10,9,12.9,897
2023-01-01,Produit_20,Région_7,44,250.11,942
2023-01-01,Produit_35,Région_1,36,95.21,387
2023-01-01,Produit_2,Région_6,54,275.62,821
2023-01-01,Produit_29,Région_2,90,227.63,201
2023-01-01,Produit_36,Région_8,78,102.01,701
2023-01-01,Produit_40,Région_5,80,374.92,878
2023-01-01,Produit_24,Région_10,89,144.06,379
2023-01-01,Produit_45,Région_9,29,402.09,64
2023-01-01,Produit_25,Région_7,9,387.26,647
2023-01-01,Produit_24,Région_3,81,357.11,418
2023-01-01,Produit_33,Région_5,41,457.91,200
2023-01-01,Produit_8,Région_2,33,36.46,406
2023-01-01,Produit_24,Région_5,99,297.69,725
2023-01-01,Produit_27,Région_3,65,194.55,942
2023-01-01,Produit_14,Région_3,1,362.26,502
2023-01-01,Produit_14,Région_7,27,263.75,14
2023-01-01,Produit_26,Région_10,77,104.85,863
2023-01-01,Produit_39,Région_1,52,283.82,899
2023-01-01,Produit_30,Région_5,23,304.19,654
2023-01-01,Produit_43,Région_4,13,43.11,698
2023-01-01,Produit_22,Région_2,42,405.02,952
2023-01-01,Produit_6,Région_4,30,442.22,639
2023-01-01,Produit_28,Région_9,62,59.48,376
2023-01-01,Produit_27,Région_9,77,431.06,358
2023-01-01,Produit_6,Région_8,27,211.62,676
2023-01-01,Produit_33,Région_3,44,125.84,826
2023-01-01,Produit_32,Région_8,52,185.0,496
2023-01-01,Produit_12,Région_7,2,357.57,612
2023-01-01,Produit_49,Région_8,81,137.06,1
2023-01-01,Produit_2,Région_6,87,142.93,224
2023-01-01,Produit_1,Région_3,2,267.81,729
2023-01-01,Produit_32,Région_6,32,298.38,438
2023-01-01,Produit_11,Région_8,17,365.47,279
2023-01-01,Produit_5,Région_4,98,318.6,906
2023-01-01,Produit_48,Région_1,73,163.79,325
2023-01-01,Produit_16,Région_3,20,166.35,931
2023-01-01,Produit_19,Région_10,67,405.7,147
2023-01-01,Produit_32,Région_7,52,470.56,935
2023-01-01,Produit_39,Région_2,1,339.47,952
2023-01-01,Produit_25,Région_2,23,273.02,297
2023-01-01,Produit_35,Région_7,16,409.52,571
2023-01-01,Produit_49,Région_2,1,51.09,651
2023-01-01,Produit_5,Région_5,32,318.39,8
2023-01-01,Produit_41,Région_3,19,364.35,130
2023-01-01,Produit_20,Région_8,54,391.04,919
2023-01-01,Produit_11,Région_1,72,393.74,103
2023-01-01,Produit_20,Région_3,89,333.43,860
2023-01-01,Produit_18,Région_2,66,347.49,719
2023-01-01,Produit_41,Région_4,33,13.95,397
2023-01-01,Produit_21,Région_4,8,425.37,400
2023-01-01,Produit_33,Région_3,86,136.28,749
2023-01-01,Produit_30,Région_6,51,446.56,282
2023-01-01,Produit_27,Région_2,21,253.81,283
2023-01-01,Produit_47,Région_1,69,118.94,815
2023-01-01,Produit_19,Région_4,35,385.43,511
2023-01-01,Produit_17,Région_5,6,188.23,744
2023-01-01,Produit_37,Région_8,93,216.95,180
2023-01-01,Produit_31,Région_3,60,427.24,190
2023-01-01,Produit_21,Région_7,33,161.88,127
2023-01-01,Produit_18,Région_9,95,422.89,322
2023-01-01,Produit_40,Région_8,32,337.22,662
2023-01-01,Produit_2,Région_10,2,164.66,103
2023-01-01,Produit_33,Région_9,43,355.91,38
2023-01-01,Produit_29,Région_10,26,406.01,920
2023-01-01,Produit_24,Région_10,7,253.25,684
2023-01-01,Produit_20,Région_1,8,352.47,399
2023-01-01,Produit_14,Région_3,87,18.67,353
2023-01-01,Produit_2,Région_7,63,22.79,664
2023-01-01,Produit_22,Région_10,58,20.1,691
2023-01-01,Produit_42,Région_6,15,183.29,443
2023-01-01,Produit_37,Région_1,8,386.15,619
2023-01-01,Produit_5,Région_7,68,421.8,991
2023-01-01,Produit_30,Région_3,55,73.48,655
2023-01-01,Produit_13,Région_2,30,25.33,119
2023-01-01,Produit_19,Région_10,55,129.18,473
2023-01-01,Produit_23,Région_9,12,207.43,57
2023-01-01,Produit_1,Région_2,96,276.87,559
2023-01-01,Produit_25,Région_8,1,477.66,998
2023-01-01,Produit_5,Région_6,93,212.7,75
2023-01-01,Produit_26,Région_3,86,12.12,973
2023-01-01,Produit_28,Région_5,47,25.16,749
2023-01-01,Produit_5,Région_10,90,248.35,550
2023-01-01,Produit_36,Région_1,94,326.64,761
2023-01-01,Produit_10,Région_6,69,443.91,179
2023-01-01,Produit_31,Région_10,19,254.05,768
2023-01-01,Produit_5,Région_4,16,39.93,758
2023-01-01,Produit_2,Région_1,92,294.96,474
2023-01-01,Produit_20,Région_8,12,197.14,379
2023-01-01,Produit_33,Région_1,61,275.08,612
2023-01-01,Produit_12,Région_3,65,480.79,841
2023-01-01,Produit_43,Région_2,35,171.59,89
2023-01-01,Produit_8,Région_10,74,16.52,417
2023-01-01,Produit_41,Région_7,68,347.98,625
2023-01-01,Produit_45,Région_8,36,211.88,760
2023-01-01,Produit_36,Région_10,73,286.42,738
2023-01-01,Produit_49,Région_3,36,189.15,998
2023-01-01,Produit_32,Région_8,23,465.72,36
2023-01-01,Produit_12,Région_1,55,376.68,216
2023-01-01,Produit_35,Région_9,30,451.76,61
2023-01-01,Produit_20,Région_9,86,152.33,18
2023-01-01,Produit_49,Région_4,12,479.48,914
2023-01-01,Produit_12,Région_9,71,478.62,734
2023-01-01,Produit_19,Région_10,16,226.98,98
2023-01-01,Produit_12,Région_9,52,337.9,483
2023-01-01,Produit_23,Région_9,39,50.15,41
2023-01-01,Produit_39,Région_10,5,369.83,732
2023-01-01,Produit_43,Région_2,76,345.57,953
2023-01-01,Produit_44,Région_1,7,215.92,167
2023-01-01,Produit_42,Région_9,50,446.49,193
2023-01-01,Produit_5,Région_5,38,493.39,495
2023-01-01,Produit_45,Région_1,86,407.34,510
2023-01-01,Produit_7,Région_9,45,377.92,69
2023-01-01,Produit_31,Région_3,61,192.1,166
2023-01-01,Produit_27,Région_10,90,168.48,125
2023-01-01,Produit_3,Région_2,92,287.88,659
2023-01-01,Produit_28,Région_8,61,412.28,934
2023-01-01,Produit_1,Région_3,77,122.57,504
2023-01-01,Produit_49,Région_9,56,266.54,116
2023-01-01,Produit_6,Région_10,44,489.06,172
2023-01-01,Produit_47,Région_5,80,266.21,202
2023-01-01,Produit_37,Région_4,99,349.23,440
2023-01-01,Produit_18,Région_9,49,349.4,414
2023-01-01,Produit_1,Région_5,54,294.24,655
2023-01-01,Produit_23,Région_9,75,144.08,735
2023-01-01,Produit_16,Région_8,76,57.84,372
2023-01-01,Produit_8,Région_10,92,325.19,647
2023-01-01,Produit_50,Région_5,41,133.68,922
2023-01-01,Produit_17,Région_9,33,208.55,460
2023-01-01,Produit_28,Région_3,6,475.15,255
2023-01-01,Produit_5,Région_9,66,45.96,797
2023-01-01,Produit_50,Région_5,33,389.91,145
2023-01-01,Produit_32,Région_1,11,299.09,62
2023-01-01,Produit_25,Région_6,59,421.85,460
2023-01-01,Produit_33,Région_2,99,71.26,404
2023-01-01,Produit_48,Région_7,6,347.4,708
2023-01-01,Produit_31,Région_5,3,279.94,996
2023-01-01,Produit_37,Région_10,74,192.04,84
2023-01-01,Produit_14,Région_9,1,477.26,716
2023-01-01,Produit_4,Région_1,32,28.21,94
2023-01-01,Produit_8,Région_7,26,251.59,437
2023-01-01,Produit_3,Région_2,12,409.11,235
2023-01-01,Produit_5,Région_9,17,71.34,302
2023-01-01,Produit_23,Région_5,85,321.48,74
2023-01-01,Produit_39,Région_6,64,12.2,805
2023-01-01,Produit_50,Région_2,82,199.16,858
2023-01-01,Produit_34,Région_4,38,228.2,334
2023-01-01,Produit_30,Région_7,51,350.33,796
2023-01-01,Produit_4,Région_10,56,421.84,784
2023-01-01,Produit_20,Région_8,69,490.12,52
2023-01-01,Produit_2,Région_3,23,68.38,94
2023-01-01,Produit_11,Région_6,16,322.23,359
2023-01-01,Produit_4,Région_8,25,448.91,194
2023-01-01,Produit_27,Région_2,61,100.18,402
2023-01-01,Produit_21,Région_5,82,142.9,828
2023-01-01,Produit_22,Région_5,70,64.71,232
2023-01-01,Produit_12,Région_10,46,185.31,77
2023-01-01,Produit_26,Région_9,26,400.71,120
2023-01-01,Produit_22,Région_8,94,82.7,47
2023-01-01,Produit_17,Région_10,36,404.07,624
2023-01-01,Produit_35,Région_4,79,270.61,55
2023-01-01,Produit_22,Région_10,28,187.61,215
2023-01-01,Produit_2,Région_10,14,78.13,882
2023-01-01,Produit_7,Région_3,23,258.28,750
2023-01-01,Produit_45,Région_2,38,268.65,14
2023-01-01,Produit_25,Région_7,28,14.94,952
2023-01-01,Produit_17,Région_7,86,167.11,811
2023-01-01,Produit_25,Région_1,13,298.83,579
2023-01-01,Produit_10,Région_3,18,48.03,110
2023-01-01,Produit_22,Région_2,8,295.34,747
2023-01-01,Produit_19,Région_10,41,172.04,691
2023-01-01,Produit_26,Région_2,59,181.27,876
